                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.67798,                 0.4563,                 1.1382,                0.94213,                 0.9794,                0.99225,                0.89587,                0.46785,                0.34733,                0.95884,               0.000161,               0.000161,               0.000161
                     91,                0.60431,                0.37046,                 1.0604,                0.93926,                 0.9711,                  0.995,                 0.9066,                0.48101,                0.35579,                0.97226,             0.00014862,             0.00014862,             0.00014862
                     92,                0.55459,                0.32455,                 1.0164,                0.93248,                0.97849,                 0.9889,                0.90876,                0.48097,                0.36253,                0.97115,             0.00013625,             0.00013625,             0.00013625
                     93,                 0.5669,                0.32889,                 1.0111,                0.92257,                0.99393,                0.98065,                0.90426,                0.45265,                0.36051,                0.95651,             0.00012387,             0.00012387,             0.00012387
                     94,                0.51854,                0.30651,                0.97339,                0.93138,                0.98775,                0.98499,                0.90206,                0.44888,                0.35057,                0.95386,              0.0001115,              0.0001115,              0.0001115
                     95,                0.53931,                0.31245,                 1.0181,                0.93861,                0.99601,                0.99106,                0.91269,                0.44388,                 0.3371,                0.95029,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.55953,                0.35533,                 1.0102,                0.95629,                0.98478,                  0.995,                0.91988,                0.43118,                 0.3216,                0.94328,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.50359,                0.34638,                0.97857,                0.96128,                0.98562,                  0.995,                0.91684,                0.42609,                0.31169,                0.94335,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.57409,                0.32873,                 1.0189,                0.97951,                0.97435,                  0.995,                0.92461,                0.41702,                0.31147,                0.93864,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.53744,                  0.307,                0.98855,                0.98465,                0.97171,                  0.995,                0.91431,                0.42352,                 0.3114,                0.93931,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.50889,                0.29621,                0.98089,                  0.984,                0.97048,                  0.995,                0.91591,                 0.4265,                0.30776,                0.93825,              3.725e-05,              3.725e-05,              3.725e-05
